 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-13-00-930114-e1e1b5bc6e59-1
trials-all-1  | [planner-5] [INFO] [1698541994.733599220] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541994.753601068] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541994.762018583] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698541994.781365469] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698541994.790328953] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541994.798297494] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541994.806468023] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541994.815625496] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541994.830606633] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541994.839418125] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.854509256] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541994.876839970] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.885611464] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541994.893909987] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.911831954] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.919759498] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.928004023] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541994.948382849] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541994.957498324] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.977508171] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541994.986664644] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541995.006947476] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541995.017832850] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698541995.028034264] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541995.032561003] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698541995.029047205] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541995.032867986] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698541995.042457434] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541995.049809011] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698541995.049407034] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541995.060571392] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541995.063434228] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.069126900] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541995.083014102] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541995.070041848] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541995.074075616] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541995.078607355] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541995.073933624] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541995.078414366] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698541995.074780575] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698541995.079662295] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698541995.083527072] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541995.084528015] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541995.088163806] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.100253111] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541995.102057007] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541995.106064776] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541995.111391470] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698541995.106540749] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541995.109591574] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.118561058] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541995.123811756] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.129827410] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541995.130184389] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541995.138970884] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698541995.143138644] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541995.150985193] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.142125703] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541995.146243466] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.160956620] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541995.161313599] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.161969562] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.169442132] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541995.174028868] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.184445269] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541995.188964009] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698541995.194367698] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.205517057] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541995.206688990] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541995.212292668] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541995.212587651] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.225031935] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541995.229171697] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541995.233129469] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541995.225031935] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698541995.228575731] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541995.232448509] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.240945020] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.245670748] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541995.250179489] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541995.253939273] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.250219487] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.254356249] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698541995.273336157] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.277473919] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.293000027] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541995.295660874] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698541995.299492653] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541995.306486251] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.307479194] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541995.317361626] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.326423105] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541995.326337110] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.330464872] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.333717685] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541995.334572636] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541995.339094376] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541995.339668343] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541995.351020690] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541995.361997059] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541995.362155050] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541995.366267813] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.370392576] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541995.375497283] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.388055560] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.392415310] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698541995.401888765] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541995.412687144] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.415183000] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.424901442] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.425760392] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541995.442819411] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.448497085] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.457669557] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541995.460385401] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541995.465309118] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.468087958] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.477984389] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.480765229] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.487670832] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698541995.493912473] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.498047235] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541995.502412984] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.502510979] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.508573630] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.514428293] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.521370894] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541995.524349723] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.529617420] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541995.534048165] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541995.545366514] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.546399455] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541995.548156354] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541995.554417994] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541995.555764916] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.562329539] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698541995.571858991] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541995.574576834] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698541995.576725711] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.581332446] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.589233992] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541995.592634796] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.596455576] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541995.600751329] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541995.599158421] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541995.599715389] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698541995.606740985] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698541995.605992028] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541995.610295780] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.609289838] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541995.621113158] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541995.624399969] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.633977419] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.646818680] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541995.650189486] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.662364786] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541995.663447724] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.667211508] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541995.673181164] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.681842666] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698541995.685340465] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.685730443] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541995.688751269] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541995.697795749] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698541995.698002737] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541995.700540591] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698541995.703553418] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541995.707309202] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.705156325] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.708961107] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.722252342] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541995.725336165] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541995.729469927] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.730560865] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541995.744327073] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541995.746359956] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.753671536] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.760207160] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541995.763389977] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541995.770047594] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541995.777527164] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698541995.783775804] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698541995.786236663] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541995.793818227] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.797236030] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698541995.806755483] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698541995.811085234] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541995.808167402] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.811713198] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541995.815207997] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541995.825739391] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.831923036] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541995.837234730] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.846423202] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.846963171] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541995.853792778] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541995.855027707] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541995.861247349] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541995.865258119] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.872489703] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541995.872489703] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698541995.879146320] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.889117747] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.892763537] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541995.906126769] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541995.909821556] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541995.913070369] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698541995.915827211] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.927044566] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541995.930231383] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541995.938534905] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.943086643] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541995.943057645] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541995.949633267] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541995.958040783] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.962452530] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541995.966323307] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541995.972345961] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541995.978206624] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698541995.981072459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541995.984635254] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541995.999028426] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541996.006569993] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541996.011440713] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698541996.018285320] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541996.023824002] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541996.028012762] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541996.027112814] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698541996.031047588] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541996.034845370] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541996.039672093] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541996.042890908] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541996.050543468] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541996.065827591] [robot]: door closed
trials-all-1  | [arm-1] [INFO] [1698541996.073294162] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541996.080759734] [coordinator]: Receiving sync message: error,door_closed,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541996.084585514] [coordinator]: door_closed
trials-all-1  | [arm-1] [INFO] [1698541996.083519575] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541996.092738046] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541996.106153276] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541996.111777953] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541996.115597733] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541996.118340576] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541996.124467224] [robot]: not ready
