 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-48-26-691757-400a4af7f733-1
trials-all-1  | [nurse-4] [INFO] [1698536922.613501350] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698536922.626029438] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698536922.640519539] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698536922.651104613] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698536922.682074830] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698536922.699165949] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.706417000] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698536922.713909052] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.729654162] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.746736282] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.753364328] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698536922.759399370] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698536922.778078501] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.784118543] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.801740666] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536922.805930695] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536922.816945772] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698536922.823634819] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.842613952] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698536922.848388992] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.860840079] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536922.866379118] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.882446230] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.888961276] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.895356321] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698536922.912862443] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536922.918026479] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.938078619] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.945056668] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536922.958403761] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698536922.979601910] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698536922.991297991] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698536922.997072032] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698536922.997977038] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698536922.998061039] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698536923.006878100] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.008998115] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698536923.009307117] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.013358145] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698536923.016360166] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698536923.017649175] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698536923.022160206] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536923.025933233] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536923.022366208] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.023405215] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536923.031740273] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536923.036375305] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698536923.040499334] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698536923.033188283] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.038726322] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536923.049443396] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536923.060118470] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536923.073071560] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698536923.081454619] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.081780621] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536923.086035651] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.089185672] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536923.093166700] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.101136756] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698536923.103809774] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698536923.107544800] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698536923.111924831] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698536923.113302840] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536923.122508904] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.132589974] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.138411015] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698536923.140269028] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536923.147394077] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.148780087] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536923.153532120] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536923.166462210] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698536923.170546238] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698536923.166830212] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698536923.170645239] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536923.170828240] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536923.176713281] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536923.178978297] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698536923.190130374] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536923.199190437] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698536923.202905463] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698536923.200294445] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536923.203602468] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.201019450] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.204572475] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.207346494] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536923.207382494] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698536923.221196590] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536923.221745594] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536923.225585621] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698536923.222793602] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536923.226725629] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.227667635] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.231231660] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.247646774] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.249000784] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.256159834] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.259957860] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536923.263264883] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536923.266402905] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.279771998] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.283436023] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.280323002] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536923.284028027] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536923.287108049] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698536923.287576052] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536923.297893124] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698536923.300513142] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.306874186] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.311644219] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.316808255] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.324984312] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.326485323] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536923.329371343] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.333500371] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.336325391] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536923.341310426] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536923.347390468] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.354621518] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536923.362806575] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.363941583] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536923.366970604] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.372366642] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.382383711] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536923.383460719] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.384135724] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536923.395884805] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536923.397322815] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536923.404560866] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536923.408289891] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536923.406044876] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.409995903] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536923.408005890] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536923.411863916] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698536923.409891903] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698536923.415246940] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536923.416742950] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536923.420494976] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536923.424444004] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698536923.425396010] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536923.429304038] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698536923.436909091] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.442128127] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.450343184] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536923.454089210] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536923.450335184] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536923.454153210] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.466648297] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536923.470475324] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.450866188] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536923.454784215] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.463976279] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.467557304] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.474858354] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698536923.464883285] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.470447324] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536923.481023397] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536923.482235406] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.488445449] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.493729486] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.488821452] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536923.496380504] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.510668603] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.512739618] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.514766632] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.519613666] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698536923.519633666] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.526187711] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536923.525035703] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.531195746] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.534313768] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536923.539048801] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536923.540038808] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536923.541599819] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.543033829] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536923.544600839] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698536923.552723896] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698536923.557094926] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.557873932] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.564959981] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536923.572416033] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.573825043] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536923.576848064] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536923.577872071] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536923.588384144] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536923.598067211] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536923.598079211] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698536923.611013301] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536923.611132302] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536923.615756334] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536923.621070371] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698536923.621174372] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536923.624919398] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536923.623912391] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.627920419] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.641884516] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698536923.646063545] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536923.646155546] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.649905572] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536923.649985572] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.658770633] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698536923.661187650] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.665069677] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698536923.669766710] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.670027712] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.674703744] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536923.678658772] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536923.679390777] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536923.681803794] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698536923.684694814] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698536923.687339832] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698536923.688872843] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.697844905] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.704307950] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536923.710346992] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.717224040] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.721242068] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536923.713980017] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536923.717815044] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698536923.714421020] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536923.718552049] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698536923.718126046] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536923.728648119] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698536923.728920121] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.733246151] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536923.733420152] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536923.741254207] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536923.743016219] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698536923.747155248] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536923.750948274] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.752262283] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536923.754616300] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536923.758734328] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536923.764390368] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.776903455] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536923.790302548] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698536923.796426591] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698536923.807527668] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698536923.810226687] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.813781711] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536923.815691725] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698536923.816921733] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.821512765] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536923.828479813] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.837372875] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698536923.841998908] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536923.842362910] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536923.854607995] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536923.856427008] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536923.861992047] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536923.867935088] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536923.874671135] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536923.868282090] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536923.877221152] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [environment-3] [INFO] [1698536923.892724260] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.894630274] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698536923.897231292] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536923.902336327] [robot]: not ready
